asin,product_url,product_name,lowest_price,prime,start_rating,ASIN,Link,Product Name,Price,Ingredients,Picture (URL),Picture of nutritrion information
B07L9Y17JN,https://www.amazon.com/dp/B07L9Y17JN,"Gerber Purees My 1st Fruits Starter Kit, 2 Ounce Tubs, Box of 6 (Pack of 2)",$7.92,,4.8 out of 5 stars,B07L9Y17JN,https://www.amazon.com/dp/B07L9Y17JN,"Gerber Purees My 1st Fruits Starter Kit, 2 Ounce Tubs, Box of 6 (Pack of 2)",None,,https://images-na.ssl-images-amazon.com/images/I/51TMmlHAFSL._SX425_.jpg,"https://images-na.ssl-images-amazon.com/images/I/51TMmlHAFSL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51jMNJBBHXL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51FvoW64w%2BL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51n46qwabPL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51jPQfioPVL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51D7SIS35gL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51JRqIMh-%2BL._SX38_SY50_CR,0,0,38,50_.jpg"
B005HUWGU0,https://www.amazon.com/dp/B005HUWGU0,"Gerber 2nd Foods, Vegetable and Beef Pureed Baby Food, 8 Ounce, Pack of 8",$10.88,Amazon Prime,4.7 out of 5 stars,B005HUWGU0,https://www.amazon.com/dp/B005HUWGU0,"Gerber 2nd Foods, Vegetable and Beef Pureed Baby Food, 8 Ounce, Pack of 8",None,,"https://images-na.ssl-images-amazon.com/images/I/81VZ9llAh-L._SX425_PIbundle-8,TopRight,0,0_AA425SH20_.jpg","https://images-na.ssl-images-amazon.com/images/I/51nk3OsiIeL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51gZHLNbAbL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51HMGIOzc2L._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51sm4mXCfAL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51D7SIS35gL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51JRqIMh-%2BL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/41ZE66qZrWL._SX38_SY50_CR,0,0,38,50_.jpg"
B01M304650,https://www.amazon.com/dp/B01M304650,"Plum Organics Stage 2, Organic Baby Food, Fruit and Veggie Variety Pack, 4 Ounce pouches (Pack of 18)",$25.71,Amazon Prime,4.5 out of 5 stars,B01M304650,https://www.amazon.com/dp/B01M304650,"Plum Organics Stage 2, Organic Baby Food, Fruit and Veggie Variety Pack, 4 Ounce pouches (Pack of 18)",None,"Peach, Banana & Apricot:Organic peach puree, organic banana puree (organic bananas, citric acid), organic apricot puree, organic lemon juice concentrate","https://images-na.ssl-images-amazon.com/images/I/81bQ7psEVRL._SX425_PIbundle-18,TopRight,0,0_AA425SH20_.jpg","https://images-na.ssl-images-amazon.com/images/I/51cdwi4oXsL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51AylLgWoML._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/31eIaKNSUmL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/412hDWvV08L._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/41%2BcMf0GQRL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/415MFGLtyLL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/516QJ%2BsoKrL._SX38_SY50_CR,0,0,38,50_.jpg"
B0083ZZFE0,https://www.amazon.com/dp/B0083ZZFE0,"Earth's Best Organic Stage 2 Baby Food, Apple Peach and Oatmeal, 4.2 oz. Pouch (Pack of 12)",$14.67,Amazon Prime,4.5 out of 5 stars,B0083ZZFE0,https://www.amazon.com/dp/B0083ZZFE0,"Earth's Best Organic Stage 2 Baby Food, Apple Peach and Oatmeal, 4.2 oz. Pouch (Pack of 12)",None,,"https://images-na.ssl-images-amazon.com/images/I/71hDhkaY0eL._SX425_PIbundle-12,TopRight,0,0_AA425SH20_.jpg","https://images-na.ssl-images-amazon.com/images/I/51TGnSQIwmL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51TIZesXtSL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/41Mh1lWtNiL._SX38_SY50_CR,0,0,38,50_.jpg"
B077MF79H1,https://www.amazon.com/dp/B077MF79H1,"Enfamil NeuroPro Infant Formula - Brain Building Nutrition Inspired by Breast Milk - Powder Refill Box, 31.4 oz (31.4 Ounce (Pack of 4))",$159.88,Amazon Prime,4.8 out of 5 stars,B077MF79H1,https://www.amazon.com/dp/B077MF79H1,"Enfamil NeuroPro Infant Formula - Brain Building Nutrition Inspired by Breast Milk - Powder Refill Box, 31.4 oz (31.4 Ounce (Pack of 4))",None,,https://images-na.ssl-images-amazon.com/images/I/91aCRmuNwaL._AC_SX425_.jpg,"https://images-na.ssl-images-amazon.com/images/I/61imsW2w%2BqL._AC_US40_.jpg
https://images-na.ssl-images-amazon.com/images/I/51ChK5UWwDL._AC_US40_.jpg
https://images-na.ssl-images-amazon.com/images/I/51DNE0%2BgkJL._AC_US40_.jpg
https://images-na.ssl-images-amazon.com/images/I/51UODoXqRHL._AC_US40_.jpg
https://images-na.ssl-images-amazon.com/images/I/51RJ70PaMeL._AC_US40_.jpg
https://images-na.ssl-images-amazon.com/images/I/51vuQAT%2BVDL._AC_US40_.jpg
https://images-na.ssl-images-amazon.com/images/I/81wgUeSQrNL.SS40_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg"
B07LBMQJF7,https://www.amazon.com/dp/B07LBMQJF7,"Amara Organic Baby Food | Peas, Corn & Carrots | Homemade Made Possible | Mix with Breastmilk, Formula or Water | Certified Organic, Non-GMO, No Added Sugars | Stage 2 - Babies 6 Months+ | 5 Pouches",$10.99,Amazon Prime,4.5 out of 5 stars,B07LBMQJF7,https://www.amazon.com/dp/B07LBMQJF7,"Amara Organic Baby Food | Peas, Corn & Carrots | Homemade Made Possible | Mix with Breastmilk, Formula or Water | Certified Organic, Non-GMO, No Added Sugars | Stage 2 - Babies 6 Months+ | 5 Pouches",$10.99,"Just Organic Peas, Organic Corn, Organic Potato, Organic Carrots",https://images-na.ssl-images-amazon.com/images/I/71bZvyF6vQL._SX425_.jpg,"https://images-na.ssl-images-amazon.com/images/I/51JcaAf9exL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51RS8p1XEfL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51%2BxWJlvcsL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51hNop7%2BybL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51ZUobxljfL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/512314FiNEL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/41nRTUCJEUL._SX38_SY50_CR,0,0,38,50_.jpg"
B06XPXM4BB,https://www.amazon.com/dp/B06XPXM4BB,"Happy Baby Organic Clearly Crafted Stage 2 Baby Food, Apples, Blueberries and Oats, 4 Ounce (8 Count)",$13.52,Amazon Prime,4.9 out of 5 stars,B06XPXM4BB,https://www.amazon.com/dp/B06XPXM4BB,"Happy Baby Organic Clearly Crafted Stage 2 Baby Food, Apples, Blueberries and Oats, 4 Ounce (8 Count)",None,"ORGANIC APPLE PUREE, ORGANIC BLUEBERRYPUREE, MILLED ORGANIC WHOLE GRAIN GLUTEN FREEOATS, <0.5% OF: ASCORBIC ACID (VITAMIN C), ORGANICLEMON JUICE CONCENTRATE.",https://images-na.ssl-images-amazon.com/images/I/71ITd6R%2BHdL._SX425_.jpg,"https://images-na.ssl-images-amazon.com/images/I/51UfPy7gA6L._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/41i%2B43ZDkKL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/41kEHWlxbqL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/41Bc4m9QCqL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/317E5pzF%2BBL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/41kXI2n24SL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51Ggzo%2BYGSL._SX38_SY50_CR,0,0,38,50_.jpg"
B077XJPKWJ,https://www.amazon.com/dp/B077XJPKWJ,Gerber Assorted Fruit Toddler Pouch Variety Pack (Pack of 18),$21.33,Amazon Prime,4.8 out of 5 stars,B077XJPKWJ,https://www.amazon.com/dp/B077XJPKWJ,Gerber Assorted Fruit Toddler Pouch Variety Pack (Pack of 18),None,"Banana Blueberry Ingredients: Bananas, Blueberries, Citric Acid, Vitamin C (Ascorbic Acid), Vitamin E (Alpha Tocopheryl Acetate). Apple Pear Peach Ingredients: Apples, Pears, Peaches, Vitamin C (Ascorbic Acid), Vitamin E (Alpha Tocopheryl Acetate). Apple Sweet Potato with Cinnamon Ingredients Ingredients: Apples, Sweet Potatoes, Cinnamon, Vitamin C (Ascorbic Acid), Vitamin E (Alpha Tocopheryl Acetate), Citric Acid.",https://images-na.ssl-images-amazon.com/images/I/71z5pNPwQbL._SX679_.jpg,"https://images-na.ssl-images-amazon.com/images/I/51kbsLqpG4L._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51c2JNKgGQL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51tlnMo3rjL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51D7SIS35gL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51JRqIMh-%2BL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/41ZE66qZrWL._SX38_SY50_CR,0,0,38,50_.jpg"
B07S5BD788,https://www.amazon.com/dp/B07S5BD788,"Gerber 2nd Foods Meats-Chicken & Gravy-2.5 Oz-12 Pack, 12 Count",$24.99,,4.3 out of 5 stars,B07S5BD788,https://www.amazon.com/dp/B07S5BD788,"Gerber 2nd Foods Meats-Chicken & Gravy-2.5 Oz-12 Pack, 12 Count",$24.99,,https://images-na.ssl-images-amazon.com/images/I/71Vc654iRCL._SX425_.jpg,"https://images-na.ssl-images-amazon.com/images/I/51xiUiBX3lL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/414OilpyARL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51PNSZt1eML._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/410kGHVUztL._SX38_SY50_CR,0,0,38,50_.jpg"
B01BEZ0PWM,https://www.amazon.com/dp/B01BEZ0PWM,"Happy Baby Organic Clearly Crafted Stage 2 Baby Food Pears, Squash & Blackberries, 4 Ounce (16 Count)",$25.92,Amazon Prime,4.7 out of 5 stars,B01BEZ0PWM,https://www.amazon.com/dp/B01BEZ0PWM,"Happy Baby Organic Clearly Crafted Stage 2 Baby Food Pears, Squash & Blackberries, 4 Ounce (16 Count)",None,"organic pear puree, organic butternut squash puree, organic blackberry puree, <0.5% of: ascorbic acid (vitamin c), organic lemon juice concentrate",https://images-na.ssl-images-amazon.com/images/I/51Z-JHOu58L._SX425_.jpg,"https://images-na.ssl-images-amazon.com/images/I/51Z-JHOu58L._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/412cZ2OejjL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/41aZ5vQEpAL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/519kqgRQaaL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51RCRcuazjL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/51KLT%2BZ1XIL._SX38_SY50_CR,0,0,38,50_.jpg
https://images-na.ssl-images-amazon.com/images/I/61EccWK1IuL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg"
